time,x,y,z,,
0,10.00,20.00,2,,0
1,11.95,19.81,2.2,,0.196349540849362
2,13.83,19.24,2.4,,0.392699081698724
3,15.56,18.31,2.6,,0.589048622548086
4,17.07,17.07,2.8,,0.785398163397448
5,18.31,15.56,3,,0.98174770424681
6,19.24,13.83,3.2,,1.17809724509617
7,19.81,11.95,3.4,,1.37444678594553
8,20.00,10.00,3.6,,1.5707963267949
9,19.81,8.05,3.8,,1.76714586764426
10,19.24,6.17,4,,1.96349540849362
11,18.31,4.44,4.2,,2.15984494934298
12,17.07,2.93,4.4,,2.35619449019235
13,15.56,1.69,4.6,,2.55254403104171
14,13.83,0.76,4.8,,2.74889357189107
15,11.95,0.19,5,,2.94524311274043
16,10.00,0.00,5.2,,3.14159265358979
17,8.05,0.19,5.4,,3.33794219443916
18,6.17,0.76,5.6,,3.53429173528852
19,4.44,1.69,5.8,,3.73064127613788
20,2.93,2.93,6,,3.92699081698724
21,1.69,4.44,6.2,,4.1233403578366
22,0.76,6.17,6.4,,4.31968989868597
23,0.19,8.05,6.6,,4.51603943953533
24,0.00,10.00,6.8,,4.71238898038469
25,0.19,11.95,7,,4.90873852123405
26,0.76,13.83,7.2,,5.10508806208341
27,1.69,15.56,7.4,,5.30143760293278
28,2.93,17.07,7.6,,5.49778714378214
29,4.44,18.31,7.8,,5.6941366846315
30,6.17,19.24,8,,5.89048622548086
31,8.05,19.81,8.2,,6.08683576633022
32,10.00,20.00,8.4,,6.28318530717959
40,0,0,2,,
45,10,20,2,,
